,location,total_cases_per_million,lat,long
0,Afghanistan,169611.43,33.93911,67.709953
1,Albania,660144.9,41.153332,20.168331
2,Algeria,161050.06,28.033886,1.6596259999999998
3,Andorra,5182307.63,42.546245,1.6015540000000001
4,Angola,21407.42,-11.202691999999999,17.873887
5,Anguilla,47993.53,18.220554,-63.068615
6,Antigua and Barbuda,175108.24,17.060816,-61.796428000000006
7,Argentina,1978559.48,-38.416097,-63.616671999999994
8,Armenia,3023315.06,40.069099,45.038189
9,Aruba,3505919.49,12.52111,-69.968338
10,Australia,156053.75,-25.274398,133.775136
11,Austria,1098613.53,47.516231,14.550072
12,Azerbaijan,636386.98,40.143105,47.576927000000005
13,Bahamas,1210767.76,25.03428,-77.39628
14,Bahrain,5547252.75,25.930414000000003,50.637772
15,Bangladesh,302684.82,23.684994,90.35633100000001
16,Barbados,116215.64,13.193887,-59.543198
17,Belarus,1506803.19,53.709807,27.953389
18,Belgium,2633391.65,50.503887,4.469936
19,Belize,617691.21,17.189877,-88.49765
20,Benin,28136.47,9.30769,2.315834
21,Bermuda,580203.31,32.321384,-64.75737
22,Bhutan,45826.14,27.514162,90.433601
23,Bolivia,1442052.7,-16.290154,-63.588653
24,Bonaire Sint Eustatius and Saba,398878.79,0.0,0.0
25,Bosnia and Herzegovina,1281559.61,43.915886,17.679076000000002
26,Botswana,197756.87,-22.328474,24.684866
27,Brazil,2930719.83,-14.235004,-51.92528
28,British Virgin Islands,235638.51,18.420695000000002,-64.63996800000001
29,Brunei,80727.68,4.535277,114.72766899999999
30,Bulgaria,628122.69,42.733883,25.48583
31,Burkina Faso,15336.4,12.238333,-1.561593
32,Burundi,5943.92,-3.3730559999999996,29.918885999999997
33,Cambodia,2982.68,12.565679,104.990963
34,Cameroon,122585.16,7.369722,12.354722
35,Canada,792715.31,56.130366,-106.34677099999999
36,Cape Verde,1408078.96,16.002082,-24.013197
37,Cayman Islands,636107.73,19.513469,-80.566956
38,Central African Republic,158142.92,6.611111,20.939444
39,Chad,12628.2,15.454166,18.732207
40,Chile,3628417.53,-35.675146999999996,-71.542969
41,China,17252.63,35.86166,104.195397
42,Colombia,1955052.04,4.570868,-74.297333
43,Comoros,82530.39,-11.875001,43.872219
44,Congo,119736.14,0.0,0.0
45,Costa Rica,1693296.23,9.748917,-83.753428
46,Cote d'Ivoire,108389.96,0.0,0.0
47,Croatia,838765.46,45.1,15.2
48,Cuba,73321.9,21.521757,-77.78116700000001
49,Curacao,356617.93,0.0,0.0
50,Cyprus,487512.83,35.126413,33.429859
51,Czech Republic,1691532.6,49.817492,15.472961999999999
52,Democratic Republic of Congo,18695.17,0.0,0.0
53,Denmark,837335.46,56.26392,9.501785
54,Djibouti,989352.24,11.825138,42.590275
55,Dominica,79120.99,15.414999,-61.370976
56,Dominican Republic,1398475.32,18.735692999999998,-70.162651
57,Ecuador,1156156.92,-1.8312389999999998,-78.183406
58,Egypt,158598.55,26.820553000000004,30.802497999999996
59,El Salvador,583401.13,13.794185,-88.89653
60,Equatorial Guinea,524378.37,1.6508009999999997,10.267895
61,Eritrea,16052.5,15.179383999999999,39.782334000000006
62,Estonia,494265.9,58.595271999999994,25.013607
63,Ethiopia,72308.44,9.145,40.489672999999996
64,Faeroe Islands,1518592.04,0.0,0.0
65,Falkland Islands,847545.3,0.0,0.0
66,Fiji,6619.49,-16.578193,179.414413
67,Finland,372042.75,61.92411,25.748151
68,France,1612724.97,46.227638,2.213749
69,French Polynesia,1453329.24,-17.679742,-149.40684299999998
70,Gabon,605180.41,-0.803689,11.609444
71,Gambia,148302.78,13.443182,-15.310139000000001
72,Georgia,602821.89,42.315407,43.356891999999995
73,Germany,769379.45,51.165690999999995,10.451526
74,Ghana,212794.54,7.946527000000001,-1.0231940000000002
75,Gibraltar,2147784.27,36.137741,-5.345374
76,Greece,314161.33,39.074208,21.824312
77,Greenland,57722.05,71.706936,-42.604303
78,Grenada,49333.87,12.262775999999999,-61.604170999999994
79,Guam,2020452.29,13.444304,144.793731
80,Guatemala,641625.68,15.783470999999999,-90.23075899999999
81,Guernsey,885775.2,49.465691,-2.5852779999999997
82,Guinea,123657.25,9.945587,-9.696645
83,Guinea-Bissau,198658.23,11.803749,-15.180413
84,Guyana,408256.73,4.860416000000001,-58.93018000000001
85,Haiti,117668.42,18.971187,-72.28521500000001
86,Honduras,1008768.95,15.199998999999998,-86.241905
87,Hong Kong,0.0,22.396428,114.10949699999999
88,Hungary,557393.78,47.162494,19.503304
89,Iceland,1734745.79,64.96305100000001,-19.020835
90,India,508465.45,20.593684,78.96288
91,Indonesia,133730.52,-0.789275,113.921327
92,International,0.0,0.0,0.0
93,Iran,902784.85,32.427908,53.68804599999999
94,Iraq,1052725.18,33.223191,43.679291
95,Ireland,1507063.48,53.41291,-8.243889999999999
96,Isle of Man,910516.08,54.236107,-4.548056
97,Israel,3156493.86,31.046051000000002,34.851612
98,Italy,1337038.2,41.87194,12.56738
99,Jamaica,235451.23,18.109581,-77.297508
100,Japan,90356.32,36.204824,138.252924
101,Jersey,883836.45,49.214439,-2.13125
102,Jordan,417501.48,30.585164000000002,36.238414
103,Kazakhstan,991872.27,48.019573,66.923684
104,Kenya,100059.89,-0.023559,37.906193
105,Kosovo,1123692.68,42.602636,20.902977
106,Kuwait,3547961.95,29.311659999999996,47.481766
107,Kyrgyzstan,988628.32,41.20438,74.766098
108,Laos,670.28,19.856270000000002,102.495496
109,Latvia,275750.42,56.879635,24.603189
110,Lebanon,782847.47,33.854721000000005,35.862285
111,Lesotho,82723.7,-29.609988,28.233608
112,Liberia,41661.41,6.4280550000000005,-9.429499
113,Libya,595904.37,26.3351,17.228331
114,Liechtenstein,1156724.44,47.166000000000004,9.555373
115,Lithuania,469489.84,55.169438,23.881275
116,Luxembourg,2983965.83,49.815273,6.129583
117,Macedonia,1453195.29,0.0,0.0
118,Madagascar,73732.43,-18.766947000000002,46.869107
119,Malawi,38904.01,-13.254307999999998,34.301525
120,Malaysia,95149.92,4.210483999999999,101.97576600000001
121,Maldives,2330736.56,3.202778,73.22068
122,Mali,25652.52,17.570692,-3.9961660000000006
123,Malta,1104763.12,35.937496,14.375416
124,Marshall Islands,743.32,7.131474000000001,171.184478
125,Mauritania,230537.27,21.00789,-10.940835
126,Mauritius,67180.54,-20.348404000000002,57.552152
127,Mexico,834501.35,23.634501,-102.552784
128,Moldova,1848090.82,47.411631,28.369884999999996
129,Monaco,932881.45,43.750298,7.412841
